t,Rec1_Obs,Rec2_Obs,IR1_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,68.6852570395528,2612.18607896339,0.0531572294536587,-4.55532865851277,34.6161993593732,5.16510071666145
4.5,NaN,NaN,5.96457163604195,NaN,NaN,NaN
5.5,NaN,1201.83864892034,NaN,NaN,NaN,NaN
6,NaN,NaN,NaN,33.9541002085867,NaN,NaN
7,60.3582380128451,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,464.098693865485,NaN
9,NaN,NaN,NaN,NaN,NaN,134.455090825981
9.5,NaN,NaN,3.75534079878295,NaN,NaN,NaN
10,NaN,1269.12925256152,NaN,28.4185253413187,NaN,NaN
15,54.2556048201172,1484.57327346092,2.92518238849917,NaN,690.854080960685,NaN
20,42.0204313805564,NaN,2.63135507285998,37.6667316303565,NaN,248.417066539114
25,NaN,1207.39460410484,2.47205834875484,28.7860047603538,777.316938859174,NaN
30,63.8660436428153,1615.37193270729,NaN,NaN,NaN,286.893336573524
35,NaN,NaN,1.71554720858574,26.6715845351499,875.262210823703,NaN
40,61.9170667483743,1691.08344844867,1.81326871187813,28.5334574029498,NaN,322.257323990218
45,NaN,1877.82207682932,NaN,NaN,982.836458539937,NaN
50,79.892219097831,NaN,1.66837252813491,32.8360863933508,NaN,478.287950366811
55,NaN,1797.37718476088,NaN,NaN,NaN,NaN
60,67.9944469665789,NaN,1.41482598088908,NaN,857.073876056133,NaN
65,NaN,NaN,NaN,35.2583046628178,NaN,553.363056891686
70,NaN,1679.21757261247,NaN,NaN,919.996412666451,NaN
75,89.5106120943801,NaN,1.37047584674655,NaN,NaN,NaN
80,NaN,NaN,NaN,35.7360978671702,NaN,608.446880530926
85,NaN,1764.49798213999,NaN,NaN,931.265863471316,NaN
90,81.0936030460006,NaN,0.742080687122707,NaN,NaN,NaN
95,NaN,NaN,NaN,34.4841783719813,NaN,NaN
100,77.5419280275862,2053.60401239324,NaN,26.4617375581779,937.751892068749,724.474969314312
150,72.2850522811689,NaN,NaN,NaN,933.977599625978,906.685053585049
200,NaN,NaN,NaN,NaN,983.669895644565,1033.2572579534
