t,Ins_Obs,IR1in_Obs,BoundUnspec_Obs
0,10.3278238289349,0.0138718139232146,-0.0479680652213277
4.5,NaN,NaN,2.4055210777164
6,2.23960319173238,NaN,NaN
9.5,NaN,0.30679348118526,1.61370761486682
10,1.54887965367018,NaN,NaN
15,NaN,NaN,0.879090263513126
20,0.87175715102633,0.258127302561878,0.868509132485597
25,0.741519159495565,NaN,0.534041016352024
30,0.567599058970622,0.179811889004991,NaN
35,NaN,NaN,0.530469395773198
40,0.44707072852195,0.165213010655552,0.392558875114215
50,0.491479689210828,NaN,0.459667371419093
55,NaN,0.0973647034912195,NaN
60,0.42969440692935,NaN,0.523392885219275
70,NaN,0.0704506581341103,0.34453891099221
75,0.25100994404825,NaN,NaN
85,NaN,0.0490903945600717,0.125655578623873
90,0.331593110335347,NaN,NaN
100,0.0550817825520296,0.0366843794622637,NaN
150,NaN,0.0110591125607257,NaN
200,NaN,0.00151301379793433,NaN
