t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,10374.1950990245,82.1485355891552,2051.63597054382,-0.246187481204668,5.13663368560871,-33.8115129346837,411.355708336055,375.184781089968
3,NaN,NaN,NaN,17.3179626962494,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,10.687567227822,NaN,NaN,NaN,NaN
7.5,NaN,9.32587450153788,222.974541099791,NaN,63.9321281998958,NaN,NaN,NaN
8.5,3833.55139027157,NaN,NaN,NaN,NaN,NaN,1726.90439494653,-6.76228900262262
9.5,NaN,NaN,NaN,NaN,NaN,89.9611500504368,NaN,NaN
10,NaN,NaN,NaN,9.72948756257789,NaN,NaN,NaN,NaN
15,3320.77349988143,4.30888403808952,261.110051733623,9.27421746757402,67.8885773633601,NaN,2540.37922402741,740.574149539891
20,NaN,NaN,NaN,9.09957809014315,67.8902476141623,78.3021524546312,NaN,NaN
25,3329.58318872262,6.3640204373363,228.83024202625,8.05274334884447,NaN,NaN,3535.28942312967,535.083340257729
30,NaN,5.06050235932925,104.899537587179,9.87143290063548,66.9701686890235,71.8722044011735,NaN,NaN
35,3546.73387316437,NaN,NaN,10.2759236696199,NaN,NaN,2020.54074435327,1230.45541296495
40,NaN,6.64855601102488,174.790295173433,10.452938363383,54.808996301811,124.103921323943,NaN,NaN
45,2742.34275477028,NaN,NaN,NaN,NaN,NaN,3514.42339409066,1731.88110067383
50,NaN,5.4052618138847,264.325443042646,10.3255611657082,66.841783334275,126.82653794506,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1204.71556434787
60,2783.01686205007,7.3327831564722,210.637471520679,NaN,64.8786110281688,NaN,4120.2606110207,NaN
65,NaN,NaN,NaN,NaN,NaN,152.438097757561,NaN,NaN
70,2826.85917748021,NaN,NaN,NaN,62.1780129716334,NaN,5009.55751122972,2438.6990227356
75,NaN,10.420743310094,327.192167941759,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,181.254435915095,NaN,NaN
85,2800.26277935876,11.0797015136341,NaN,NaN,68.5572574456333,NaN,4648.64415540794,3105.65950290749
90,NaN,NaN,161.728349797337,NaN,NaN,NaN,NaN,NaN
100,2164.75126587166,11.5561332801298,168.395074018961,NaN,66.2192441629594,195.906899740962,4681.26890321008,3824.02671589622
150,737.453958481357,15.213925753386,329.552544336371,NaN,62.4099332256678,239.405983352749,7424.78268845229,5386.305386599
200,1121.78933491926,22.3260627984545,557.648517691695,NaN,57.1255016036541,306.625095807038,7374.33866899753,6881.22108865436
