t,Ins_Obs,Rec1_Obs,Rec2_Obs,IR1_Obs,IR1in_Obs,Uptake1_Obs,Uptake2_Obs,InsulinFragments_Obs
0,101.458476554826,98.7980993193368,2146.46453623701,0.0108458104020672,0.049994531180935,-0.260219837031661,-12.3947295113644,2.28660893380193
4,NaN,NaN,NaN,0.868868633809167,NaN,NaN,NaN,NaN
5,29.470751871661,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,0.53777640407127,NaN,3.38878660528795,71.1150759852858,NaN
8.5,NaN,NaN,NaN,NaN,3.0025730531397,NaN,NaN,NaN
9,NaN,70.0406243373188,NaN,NaN,NaN,NaN,NaN,NaN
10,16.62474242181,NaN,1894.97830147371,0.461946961055497,NaN,NaN,NaN,10.0585763718931
15,9.6955002691241,NaN,NaN,0.376961183274684,2.8346352748215,3.42855619901251,79.8396084938572,NaN
20,8.3534537959856,71.8385860359898,2127.29232886315,0.244828326817899,NaN,NaN,NaN,22.9364287470193
25,NaN,69.3070484055127,NaN,0.226706651041859,2.31895029618377,3.74749853808624,76.7019626169095,NaN
30,5.05520739139792,NaN,1953.23779458508,NaN,NaN,NaN,NaN,20.5108302696353
35,5.66633101056003,90.34788128792,NaN,0.144349283602006,1.58104837698933,3.87808282854643,88.9388382596758,NaN
40,NaN,NaN,NaN,0.218408799558332,NaN,NaN,NaN,47.0718428973937
45,2.91018490353545,NaN,2051.23477529647,NaN,1.10722844596388,2.79974678717982,85.7444795613453,NaN
50,NaN,85.7704914629226,NaN,0.0613408232656645,NaN,NaN,NaN,NaN
55,3.09458153544113,NaN,1995.66384331075,NaN,NaN,3.22216215031117,84.0853818999356,46.1561589865894
60,NaN,65.4107109333126,NaN,0.111847045766918,0.870379969495731,NaN,NaN,NaN
65,3.02793985192844,NaN,NaN,NaN,NaN,NaN,75.5379594449334,NaN
70,NaN,NaN,2347.07859202259,0.0780007446156289,0.695003896059343,3.28280732246029,NaN,64.3795615893978
75,NaN,91.7307499173774,NaN,NaN,NaN,NaN,NaN,NaN
80,1.7703135505351,NaN,NaN,NaN,NaN,3.06682531212798,NaN,NaN
85,NaN,NaN,2029.13325148724,NaN,NaN,NaN,100.787102038988,68.7824875146022
90,NaN,70.8162759354934,NaN,NaN,0.428161543671009,NaN,NaN,NaN
95,3.87282938549715,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,NaN,79.5237691329638,2300.99643012326,NaN,0.645342906494117,3.33662020427831,92.1650731091304,87.6209723257361
150,NaN,93.800125718126,2300.12142240983,NaN,-0.0401958658325531,2.90363367791667,92.9413657361691,87.6974257161613
200,NaN,79.1159881497869,1674.29393044754,NaN,-0.0326153962284664,NaN,118.965726092426,89.3783946556596
