t,Reelin_input,ApoER2_Dab1SFK_Obs,Compound_1_Obs
8,0,5.86365387721074e-05,1.0593181037712e-05
8,0.00012207,4.84473125261821e-05,9.58563105585689e-06
8,0.00024414,5.97540327273259e-05,1.42946893011344e-05
8,0.00048828,5.93574755762077e-05,1.96562416599584e-05
8,0.00097656,5.76865187928586e-05,4.51156906762911e-05
8,0.0019531,4.44081991957521e-05,0.000119485239068638
8,0.0039062,4.01821233363202e-05,0.000235727544031988
8,0.0078125,3.95880294981282e-05,0.000465501431372666
8,0.015625,3.14388481403933e-05,0.00103538127442657
8,0.03125,2.48736613630026e-05,0.00172389602218107
8,0.125,1.16938870278023e-05,0.0060413669739454
8,0.25,5.85578585335055e-06,0.0100971873828696
8,0.5,2.94824392642318e-06,0.0172395396263511
8,1,1.66156014074513e-06,0.0333897691700676
