t,ApoER2_Dab1SFK_Obs,ApoER2_Dab1_released_Obs,ApoER2_re_Dab1SFK_Obs,Compound_1_Obs
0,6.10753473870896e-05,0.0451424061491578,0,8.38823481129721e-05
10,1.35712936473608e-06,NaN,NaN,NaN
20,1.41925431798077e-06,NaN,NaN,NaN
25,NaN,0.34483534581192,NaN,NaN
30,1.52467453324088e-06,NaN,NaN,0.0627279286250115
35,NaN,NaN,0.000756175723512443,NaN
45,1.6949896944193e-06,NaN,NaN,NaN
50,NaN,0.438087536892648,NaN,NaN
55,1.79707994731881e-06,NaN,NaN,0.0630249126840618
70,1.57927300952853e-06,NaN,0.000569676284821517,NaN
80,NaN,0.329033130858439,NaN,NaN
85,NaN,NaN,NaN,0.04783043579884
90,1.56921522296151e-06,NaN,NaN,NaN
100,1.39394745192042e-06,0.438286770045271,0.000547962520126622,0.0475136813020095
150,1.7335323098813e-06,0.398591189677878,0.000477156103033241,0.041125893477719
200,NaN,0.313690547743884,0.000441635828229818,0.0242145580889629
250,NaN,0.270109786840821,0.000404139816504434,0.0139416644697651
300,NaN,0.230478189663233,0.00036007679547827,0.00721908352853688
350,NaN,NaN,0.000321638528663337,0.00408322944073499
400,NaN,0.195180869424897,NaN,0.0026101510061362
450,NaN,0.125912113550961,0.00016765993597221,0.00222404862710024
550,NaN,NaN,0.00011562674558818,0.000951516812166604
