t,Compound_1_Obs,Compound_3_Obs,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs
0,9.19834638159086,10.5174531821811,9.26776605867609,0.55681603175452,1.01790813865517
1,13.1545494341404,7.68947385957178,10.9083771721141,NaN,2.31697508661565
1.5,NaN,NaN,NaN,1.9779816455668,NaN
2,NaN,7.42867090626487,9.66135679541017,NaN,NaN
2.5,13.9249225995788,NaN,NaN,3.60271831535279,2.71811265967867
3,NaN,NaN,12.7248529552837,NaN,NaN
3.5,15.1710138638058,7.12808017228625,NaN,NaN,3.82208294025525
4,NaN,NaN,NaN,2.48501027311367,NaN
4.5,NaN,3.4017099692199,14.364084346886,NaN,NaN
5,17.1744847878611,NaN,NaN,NaN,7.14140676956712
5.5,NaN,NaN,15.1581886316942,3.80976369227123,NaN
6,NaN,2.26913864478485,NaN,NaN,NaN
6.5,17.9244756260244,NaN,NaN,NaN,8.03747530721697
7,NaN,NaN,12.5675597781335,NaN,NaN
7.5,NaN,2.79444789854745,NaN,4.46257499239006,NaN
8,NaN,NaN,NaN,NaN,7.58186082653575
8.5,17.3281073138124,NaN,NaN,NaN,NaN
9,NaN,4.02297999597288,12.1963563794535,NaN,NaN
9.5,NaN,NaN,NaN,5.75555711976801,NaN
10,18.5347133499345,2.70632099935096,12.6680354865415,6.37433427892732,5.90047398548593
15,14.8701974629626,4.10512025625631,10.3162480982399,7.04699364236153,4.80820053996766
20,14.6242681808817,4.8887092431365,13.7950939843402,7.63928714869207,3.89766991922945
