t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs
0,10.8601148824853,0.000259973240290663,10.0026268099777,19.8639766338297,11.5015841137891,10.151389025415,0.428542513286875,-0.014031459689006,0.0227146010004625
2,NaN,NaN,NaN,17.0113606626538,NaN,5.42752097650496,3.80576632838141,NaN,NaN
2.5,20.2754049272421,NaN,NaN,NaN,13.7832970441232,NaN,NaN,5.87018269671846,9.0964193513302
3,NaN,NaN,1.61913979584387,NaN,NaN,NaN,NaN,NaN,NaN
4,NaN,NaN,NaN,17.7171837803223,NaN,6.61752394135016,NaN,NaN,NaN
4.5,NaN,0.00304148719313449,NaN,NaN,NaN,NaN,3.04247141988588,NaN,NaN
5,NaN,NaN,NaN,NaN,11.5048571702544,NaN,NaN,NaN,7.63383858367337
5.5,16.8315083036736,NaN,NaN,NaN,NaN,NaN,NaN,5.31604087160305,NaN
6,NaN,NaN,1.82332685677024,16.3016086386583,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,7.07311362043552,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,2.73099365871809,NaN,NaN
7.5,NaN,NaN,NaN,NaN,13.8311839714556,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.45361789846807
8.5,16.4696910974422,NaN,NaN,19.0501458456698,NaN,7.44817106683885,NaN,7.16094885908649,NaN
9,NaN,0.00258329174459611,4.70127956719251,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,NaN,2.61011670635252,NaN,NaN
10,16.1055885638187,NaN,4.90878450248908,14.7369903041121,10.0589236958938,7.21174733014038,NaN,7.79369768296592,6.38937017759471
15,14.1370810884781,0.00240267770205241,5.21376219966478,17.7459497467387,11.8996276733028,7.11588117179318,2.17238433689669,8.95611929827531,4.6254153512144
20,15.3514580482989,0.00210949827474673,6.53349650791954,17.2239525865398,11.7529115869932,8.30189153814106,2.19085081678585,6.86561896670613,3.89207376164249
25,12.5385545921075,0.00196017926658516,6.52830892910056,16.316679024935,10.7687940889647,8.37605473306499,2.03734842297886,8.43923837476067,3.75606635172472
30,14.3724755347782,0.00230171092092324,6.16271039225126,16.6514277500955,11.8436474434447,8.16026366969784,1.79676469716191,9.1488829286112,3.36207366558681
35,13.5718525022385,NaN,7.41819595374235,18.7512230719999,NaN,7.49418021459383,NaN,8.87794198681073,NaN
40,12.4080334411455,0.00163052916521503,NaN,NaN,11.3360088635754,NaN,2.43381766931685,7.92420509571682,3.34302895950393
45,NaN,NaN,7.3686235495566,NaN,NaN,NaN,NaN,NaN,2.54930649878642
50,11.8777172373075,0.0019265926268365,NaN,NaN,NaN,NaN,NaN,9.0238332855975,NaN
55,NaN,NaN,6.68441990946665,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,0.0019243434211972,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,0.00162638007222648,NaN,NaN,NaN,NaN,NaN,NaN,NaN
