t,IRins_Obs,IRiP_Obs,IRi_Obs,IRS_Obs,XX_Obs,XXp_Obs
0,-0.946624243048914,4.25938686214924e-05,0.480838032697223,10.9882140173503,10.556046910243,-2.46833072649822e-05
1.5,NaN,NaN,NaN,8.59707428371503,NaN,NaN
2,9.18129571473543,NaN,NaN,NaN,NaN,NaN
3.5,NaN,NaN,NaN,9.89812057105377,NaN,NaN
4,8.4272947541719,0.000509490028617595,2.72964218604312,NaN,11.9795915562977,NaN
4.5,NaN,NaN,NaN,NaN,NaN,0.00211057395685182
5.5,NaN,NaN,NaN,8.17205711099227,NaN,NaN
6.5,8.06994047925439,NaN,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,7.96143888191901,NaN,NaN
8.5,NaN,0.000347982371238073,3.36264986459179,NaN,11.5842199353676,NaN
9,6.96316983342882,NaN,NaN,NaN,NaN,0.00175834457532838
9.5,NaN,NaN,NaN,9.2695313491581,NaN,NaN
10,5.8252874039352,NaN,NaN,9.06690523281516,NaN,NaN
15,5.84162194032546,0.000391634729120943,4.98036938505647,8.81170435646574,9.67834117576774,0.0014252509720241
20,4.01466365697051,0.000395879390828305,5.6082104995911,8.33548614764803,10.1167398550743,0.00139360534636667
25,4.26511049400383,0.0003313804355095,5.97391586352403,8.30245049093778,11.8230323259978,0.00141574052309236
30,3.23233958115673,0.000332774937280029,6.12299883042217,NaN,10.1744650053413,NaN
35,NaN,0.000378086315896072,NaN,NaN,8.5804706913538,0.00141934407952375
40,4.00987444373628,NaN,6.82625382729306,NaN,NaN,NaN
45,NaN,0.000323385369402824,6.06117795706831,NaN,9.5324011340859,0.00132743422460271
50,NaN,0.000294257002386633,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,11.3330870370349,0.00147592785517413
60,NaN,0.000351519611804258,6.9666203044744,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,9.67686884603168,0.00147891532825375
70,NaN,0.000415042298272024,6.25786200176793,NaN,NaN,NaN
