t,IRins_Obs,IRi_Obs,IRS_Obs,XXp_Obs
0,0.0792749154413589,-0.140470374915891,10.5143444646479,0.00017453516708507
1,2.17532692815429,NaN,6.26491380201003,NaN
1.5,NaN,0.104102853641837,NaN,0.000929168527464485
2,3.14693390121627,NaN,9.28314478673502,NaN
2.5,NaN,0.607333877264784,NaN,NaN
3,NaN,NaN,NaN,0.00169099175000191
3.5,4.19249278579126,NaN,10.0289053730412,NaN
4,NaN,0.752968859702972,NaN,NaN
4.5,8.22884228911345,NaN,6.90394554146954,0.00152105978820186
5.5,NaN,2.1206010680502,NaN,NaN
6,7.1968743819312,NaN,8.6836719634286,NaN
6.5,NaN,NaN,NaN,0.00209135407709978
7,7.74702828523617,NaN,NaN,NaN
7.5,NaN,2.31065622149634,NaN,NaN
8,NaN,NaN,9.36339478334606,NaN
8.5,NaN,NaN,NaN,0.00223597641956968
9,6.66912538338524,NaN,NaN,NaN
9.5,NaN,3.43117692580572,10.1501901399282,NaN
10,6.81528400268319,2.65417153194561,9.53182993859661,0.00166315891546891
15,4.65021811033436,4.50554459161271,8.66139573552389,0.0015426900838589
20,3.83192134925074,5.58968207638649,8.80500494916104,0.0016343483521072
