t,RAF_Obs,pMEK_Obs,pERK_Obs
0,0.751564654498277,0.00053112361472388,0.141480191532146
0.6,1.33556304577144,NaN,NaN
1,1.19639265313869,NaN,NaN
2,0.78697020816532,NaN,NaN
2.5,0.918197083067925,NaN,NaN
3.5,0.961149810740831,NaN,NaN
4,NaN,NaN,0.036405307980425
4.5,0.412811975293954,0.0029491861299477,NaN
5.5,0.799451564510962,NaN,NaN
7,1.31887621613793,NaN,NaN
8.5,NaN,NaN,0.029682632321083
9,0.967726033931414,NaN,NaN
10,NaN,0.00309444983884925,NaN
15,NaN,0.00301730750694703,0.038742382816018
20,NaN,NaN,0.0199938113528573
25,NaN,0.00233494945126976,NaN
