t,RAF_Obs,pMEK_Obs,pERK_Obs
0,0.636417235430867,0.000648236074623243,0.128125570622812
0.2,0.598367489587754,NaN,NaN
0.45,1.0378565264649,NaN,NaN
0.7,0.794767259651873,NaN,NaN
1,1.12134554258358,NaN,NaN
1.5,0.691102735192151,NaN,NaN
2,0.741328150028497,NaN,NaN
2.5,0.779606507333169,NaN,NaN
3.5,0.542602098253094,NaN,NaN
4,NaN,0.000608309035653004,0.0929062245312024
8,NaN,0.000328680360325638,NaN
8.5,NaN,NaN,0.0897292480125669
15,NaN,0.00050699115662034,0.0522745410622539
20,NaN,0.000408637263421827,0.100481348787158
