t,RAF_Obs,pMEK_Obs,pERK_Obs
0,1.21825947640993,0.000652252869093827,0.110140973018839
0.25,1.19934986095756,NaN,NaN
0.5,0.657985157020135,NaN,NaN
0.75,1.22523172736217,NaN,NaN
1,0.998219249498997,NaN,NaN
1.5,1.21596445751931,NaN,0.260841409243914
2,1.29655605361556,0.00138491583726287,NaN
2.5,1.53119062644724,NaN,NaN
3,0.909491648514341,NaN,0.216686127726517
4,1.26437369974287,NaN,NaN
4.5,NaN,0.000937401090902863,NaN
5,NaN,NaN,0.200379665794013
6.5,NaN,NaN,0.183084789319047
7,NaN,0.000505264282459769,NaN
8.5,NaN,NaN,0.144271387295215
9.5,NaN,0.000641040631758035,NaN
10,NaN,0.000618986077223825,0.160341030878026
15,NaN,0.000726066439514383,0.118073994858497
20,NaN,0.000567934096165216,0.108950859054164
25,NaN,0.000955640904504928,0.22525011235194
