t,ppS3_Obs,geneE_Obs,geneG_Obs
0,0.000729635750215086,0.75309350614141,0.828440309591737
45,NaN,NaN,30.8308083284158
50,NaN,3.66957319550038,NaN
55,0.233065035492201,NaN,NaN
90,NaN,NaN,11.1822113204541
100,0.417052159834418,3.73589256952109,NaN
150,0.460893764217338,4.31410300044576,12.3753852596762
200,NaN,6.31191423434928,4.47932510454352
250,0.196188126965134,5.9486642073256,9.86898527778821
300,0.166529889780957,NaN,10.4475968990378
350,NaN,5.55088583740905,6.55849256173652
400,0.141712288107017,NaN,NaN
450,NaN,1.96358785937049,3.53460474614028
500,0.225807643191341,1.69411819485887,NaN
550,NaN,NaN,1.53589788426283
600,0.0511597047557285,NaN,NaN
650,NaN,2.4405314538018,0.860793605343158
750,0.0417891687310602,2.69605476103075,0.610815078035154
900,0.0112807845070297,1.42602498642116,0.454136130404712
