t,ppS3_Obs,geneE_Obs,geneJ_Obs
0,0.000412618056115717,0.502297531779021,0.730152846017449
50,NaN,NaN,0.32012563906436
60,0.239018723499674,9.66362075163337,NaN
100,NaN,9.8335905511998,0.50983955439602
150,0.200014178896175,NaN,0.455585238338355
200,0.143260673273858,4.22869596454372,0.500030395912307
250,0.193782278631823,4.48313231750724,NaN
300,NaN,NaN,0.826874112630738
350,0.120052934356632,6.095551406844,0.976671186326743
450,0.0884494725597233,6.469688462744,0.734452954359355
550,NaN,1.96867123737653,1.20853499661401
600,0.0613911616325471,NaN,NaN
650,NaN,NaN,1.20172675556453
700,NaN,1.1454807609809,NaN
750,0.0187375761765833,NaN,NaN
800,NaN,NaN,1.51538344326583
850,NaN,1.10696141797752,NaN
950,0.00321879772637274,NaN,NaN
1000,NaN,0.622176704302637,NaN
