t,ppS3_Obs,geneE_Obs,geneJ_Obs
0,0.000110477500036388,1.60986068716105,1.04678707623224
40,NaN,NaN,0.519413413905162
55,NaN,6.68131264826801,NaN
70,0.121451408647912,NaN,NaN
85,NaN,NaN,0.429196760819277
100,NaN,3.2065835672015,NaN
150,0.134192712817286,6.17633839374913,0.7350573468555
200,0.204828145252641,NaN,0.443713002534489
250,NaN,5.3709682932586,1.09419102132275
300,0.316061828425288,8.59755522670026,0.816217573692603
350,NaN,NaN,1.13970819668317
400,0.218868026812393,1.82896045077121,NaN
450,NaN,NaN,0.607513303163852
500,0.223481757814298,3.45803670978244,1.27775168179063
600,NaN,2.0017196706531,1.04362878234213
650,0.0251806867592713,NaN,NaN
750,NaN,2.19019763218119,0.959295814673525
800,0.0324473855251583,NaN,NaN
900,NaN,1.09474455763416,NaN
1000,0.00217011969462814,NaN,NaN
