t,ppS3_Obs,geneE_Obs,geneG_Obs
0,0.017006325190162,1.43207676586059,0.575053935903129
45,NaN,9.33584021010059,21.3188187165315
60,3.92650376988557,NaN,NaN
90,NaN,3.56298063247678,NaN
95,NaN,NaN,28.7036517898296
100,3.63770735226921,NaN,NaN
150,NaN,15.4948697654023,10.0558752214186
200,2.29371394535207,21.1001686088891,9.38354639426311
250,3.30512618153491,7.67416779962354,10.4191146329024
300,NaN,8.02279515202216,6.31903285833089
350,2.72845215759184,NaN,NaN
400,1.51613697031583,6.90432229027184,2.79548873625199
450,NaN,NaN,1.62597556117223
500,0.855541799572731,9.26122407363464,NaN
550,NaN,NaN,1.75090260703398
600,NaN,8.90637552898689,NaN
650,0.637371889124604,NaN,1.18677789514335
750,NaN,0.5699833246208,1.27274116123001
800,0.156828297602052,NaN,NaN
900,NaN,NaN,1.18450171252934
950,0.0641323779729902,NaN,NaN
1000,0.0430671557748939,NaN,NaN
