t,ppS3_Obs,ppS2_ppS2_S4_Obs,geneE_Obs
0,9.47092271694693e-18,6.24341862329554e-18,0.999723071607186
10,1.19974308685981e-17,1.45947125658483e-17,0.707528068076644
25,1.28112742428806e-17,1.28618881687253e-17,0.612453681704208
35,6.31854961900259e-18,NaN,NaN
40,NaN,1.10672949013676e-17,0.759792152819665
50,1.1087681431227e-17,NaN,NaN
55,NaN,9.9313343767681e-18,0.987170005607861
70,1.38098124552053e-17,1.21384622494215e-17,NaN
75,NaN,NaN,1.96147077959732
90,1.04413801304303e-17,NaN,NaN
95,NaN,1.00161515236406e-17,0.65759346095536
