t,ppS3_Obs,ppS2_ppS2_S4_Obs,geneE_Obs
0,1.95528824989448e-17,1.18073089268701e-17,1.52012793276118
10,NaN,NaN,1.38968166237586
15,7.71261898691485e-18,9.53030273117708e-18,NaN
20,NaN,NaN,0.839424477978756
25,1.27077557432687e-17,NaN,NaN
30,NaN,1.85347992911274e-17,NaN
35,NaN,NaN,1.17371386340636
45,1.07198883846222e-17,7.26221116452055e-18,NaN
50,NaN,NaN,1.27436484492324
60,1.32192840187435e-17,1.09654826661818e-17,NaN
65,NaN,NaN,1.3632726053378
80,1.59949580431136e-17,4.20141118142829e-18,NaN
85,NaN,NaN,1.28222945679383
100,2.36318238495635e-17,8.98881031068609e-18,NaN
