t,ppS3_Obs,ppS2_ppS2_S4_Obs,geneE_Obs
0,7.81810700554966e-18,1.47272676757744e-17,1.22650719887655
10,2.1133729539978e-17,NaN,0.682926274294181
15,NaN,7.21121224640877e-18,NaN
20,8.67499219175782e-18,NaN,NaN
25,NaN,NaN,1.13150954641064
30,NaN,5.8981609245145e-18,NaN
35,7.60926581081044e-18,NaN,1.00602903077759
45,NaN,1.4801325019182e-17,NaN
50,9.10339183886651e-18,NaN,1.00384182979036
60,NaN,1.40087907146253e-17,NaN
65,8.6021577067505e-18,NaN,NaN
70,NaN,NaN,1.4352871319447
80,NaN,8.60323899072509e-18,NaN
85,8.13897179737888e-18,NaN,NaN
90,NaN,NaN,0.821589724768808
100,NaN,8.49508663482811e-18,NaN
