t,ppS3_Obs,ppS2_ppS2_S4_Obs,geneE_Obs
0,9.82088730876237e-18,1.02846264234773e-17,2.16153175786304
10,9.01070468142921e-18,1.05569289172132e-17,0.660934132031796
25,1.29249432460658e-17,9.01517307285149e-18,0.820461611373101
35,1.03680556616053e-17,4.27646484071562e-18,NaN
40,NaN,NaN,0.90331993643245
50,1.2595457072228e-17,9.5147796057706e-18,NaN
55,NaN,NaN,0.683371366292768
70,1.63271430689132e-17,5.82272924885111e-18,NaN
75,NaN,NaN,1.66219431884086
85,NaN,8.02588447711711e-18,NaN
90,6.87456629057671e-18,NaN,NaN
95,NaN,NaN,0.939020066889646
