t,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3RNA_Obs
0,0.000266765484102805,8.85865620981799e-05,0.00358674156970612
20,NaN,NaN,0.00477348537358471
40,NaN,0.0023562973501003,NaN
45,0.00189531836674112,NaN,0.00415095445413669
70,NaN,NaN,0.00389440884037829
80,NaN,0.00187094134804745,NaN
90,0.00157102930059562,NaN,NaN
95,NaN,NaN,0.00355919689643792
150,0.00158162591735038,0.00150778404095189,0.00399553596998147
200,0.00153863264997062,0.00134183241967083,0.00394164085918523
250,0.00147038561333491,0.0014955198748609,NaN
300,0.00136050302952407,0.0014960949069295,NaN
350,NaN,0.0014150958432364,NaN
400,0.00122195875858676,NaN,NaN
450,NaN,0.00126289349629929,NaN
500,0.00147858022375594,NaN,NaN
550,NaN,0.00126548264420403,NaN
600,0.00142864531229043,NaN,NaN
750,0.00144425106423334,NaN,NaN
