t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,-0.0327417396455789,0.000532135309601472,5.69321061105392,-0.0026674379337538,-0.00691706362132862,0.0017904892318666,0.00829392457360658,0.0180058983015093
7.5,NaN,NaN,74.1702007529529,NaN,NaN,NaN,NaN,NaN
8.5,0.643540735174264,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,-0.0128947081833151,NaN,NaN,NaN,NaN
15,0.499203273111991,0.000775479372295788,60.7314473476937,NaN,-0.0065351752220583,0.0401831464759928,0.0118738923281667,0.0827709694420215
20,NaN,NaN,NaN,0.119467269166624,NaN,NaN,NaN,NaN
25,0.372985019301689,NaN,58.2605034388047,NaN,NaN,0.0595999832474498,NaN,NaN
30,NaN,0.000423694154623811,64.1270496371631,0.138530822948181,0.00516326676702528,NaN,0.0400025227597326,0.108597290681956
35,0.196126186276113,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,35.4106358897808,0.153385237861717,NaN,0.0561595963585943,NaN,NaN
45,NaN,NaN,NaN,NaN,0.0593441648624157,NaN,0.0691317036524772,NaN
50,0.188207618350722,0.00100236153317008,19.6161648499722,0.127754620966619,NaN,NaN,NaN,0.165312768980516
60,0.13583079370034,NaN,NaN,NaN,NaN,0.0393569955082324,NaN,NaN
65,NaN,0.00133660634678496,27.6407408021769,0.0897635554059216,0.132258985690267,NaN,0.040761252410296,0.205082646364614
75,0.0309367355384141,NaN,NaN,NaN,NaN,0.0332845954625174,NaN,NaN
80,NaN,NaN,9.8191260096363,0.0963520366429812,NaN,NaN,NaN,NaN
85,NaN,0.00117283442964971,NaN,NaN,0.0969549191894822,NaN,0.0262392976834387,0.167379315769252
95,0.158163222529744,NaN,3.73438522401361,NaN,NaN,NaN,NaN,NaN
100,0.161511990877679,0.00135621292558224,15.7253541826145,0.0508236685938395,0.0921030463739991,0.0208010666315018,0.0161065289968032,0.156181093373281
150,0.240805836517591,0.000870395899620885,13.2239002441887,0.0166636176374206,0.0362196343441772,0.0123354195757761,0.0065815063356727,0.125694575837098
200,NaN,0.00136106388807238,NaN,NaN,0.0461857898548154,0.0170790250965341,0.0328581768996432,0.104224627594651
250,NaN,0.00171724937189308,NaN,NaN,0.0505060348521411,NaN,NaN,0.0924965638010741
300,NaN,0.0019295126926846,NaN,NaN,0.0590183753277441,NaN,NaN,0.136608440950654
