t,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3RNA_Obs
0,8.04704560344705e-05,5.46134358798672e-05,0.00329604678936752
40,0.00209807659124216,NaN,NaN
50,NaN,0.00199975452193811,NaN
65,NaN,NaN,0.00385286352347869
80,0.00199193730215764,NaN,NaN
95,NaN,0.00191467546409257,NaN
100,0.001741663210918,NaN,NaN
150,0.00167864043663814,0.0016985661454285,0.00378189333288881
200,NaN,0.00161971420315049,0.00373435061927013
250,0.00174542152302795,0.00160505326930213,NaN
300,0.00155004363683125,NaN,0.00387669993156603
350,0.00164398504917656,0.00170697560749486,NaN
400,NaN,0.00161879287860493,NaN
450,0.00158038769514929,NaN,0.00361004828659952
500,NaN,0.00160230319209896,NaN
550,0.00144663334764374,NaN,NaN
650,NaN,0.00157431454930186,NaN
750,NaN,0.00155108206470093,NaN
