t,epo_level,EpoRpJAK2_Obs
7,2.5e-09,0.0591191753062912
7,7.905e-09,0.0656377635432612
7,7.905e-09,0.0588920413273687
7,7.905e-09,0.00624546075346152
7,1.25e-08,0.0151403864938104
7,1.75e-08,0.0862972740274472
7,2.5e-08,0.372815869148268
7,3.95e-08,0.102768388582584
7,3.95e-08,0.0119244489557448
7,3.95e-08,0.00249724723351298
7,7.9e-08,0.0224085045063049
7,1.25e-07,0.0248459135850217
7,1.25e-07,0.0237747869238852
7,1.25e-07,0.226557487027787
7,1.7675e-07,0.227374812204852
7,2.5e-07,0.225015471212877
7,7.905e-07,0.00856876242791069
7,7.905e-07,0.00786144840535065
7,7.905e-07,0.00148873097727302
7,2.5e-06,0.0470270641641818
