t,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,4.5049393965338,-0.0180380860449658,-0.000540924958207211,0.00745510692911048,0.0310231651462081
5.5,128.08568729435,NaN,NaN,NaN,NaN
6,NaN,NaN,0.0337855845738551,NaN,NaN
7,NaN,0.00803853263481008,NaN,NaN,NaN
7.5,NaN,NaN,NaN,-0.00943232707641018,NaN
10,101.193877868351,NaN,NaN,NaN,0.18754355962434
15,91.1073754814375,0.18008295149736,0.0644055369350335,0.0218410565083762,NaN
20,NaN,0.179887230057686,0.108636283791057,NaN,0.433547395625197
25,80.800196344874,NaN,0.113406144291777,0.0316742059898485,NaN
30,48.9573395616053,0.198717797395542,NaN,0.0689497749661678,NaN
35,86.5257756989898,NaN,0.0760689931568318,NaN,0.347344922707132
40,NaN,0.162141245054469,NaN,0.0863607052730171,NaN
45,47.5200544891639,NaN,0.0754405399073087,NaN,0.503986361070377
50,NaN,0.219112791390402,NaN,NaN,NaN
55,49.6082823148207,NaN,0.036044405182842,0.0848565653087536,NaN
60,NaN,NaN,NaN,NaN,0.534412653788044
65,NaN,0.0840307566535353,NaN,0.0640560992248409,NaN
70,25.4864248921507,NaN,0.0693255247055561,NaN,NaN
80,NaN,0.0748895538612135,NaN,0.0433110555032513,0.526249647697158
85,26.117950599054,NaN,0.0231223745332742,NaN,NaN
95,NaN,0.0973958794321785,NaN,NaN,0.421342659969985
100,40.2303226743642,0.072946923916344,0.0470828242656456,0.0255036778759751,0.442801725700594
150,NaN,NaN,NaN,NaN,0.53511941835149
200,NaN,NaN,NaN,NaN,0.454187347436707
