t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,-0.0114974862023743,0.022075291053269,0.00033443496394888,0.000209113109712051,0.000260841911962182,0.00935509591588874
5.5,NaN,NaN,NaN,0.000416035006043694,NaN,NaN
9.5,NaN,NaN,NaN,NaN,0.000182901994151885,NaN
10,NaN,0.222556210016853,NaN,0.000205924494713246,NaN,NaN
15,0.0649569939347657,NaN,0.00059160715184052,0.000336562288926259,NaN,NaN
20,NaN,NaN,NaN,NaN,0.000265259833980883,0.0130692160094534
25,0.0586032854184716,0.234300564077065,NaN,0.000256432036625812,NaN,NaN
30,NaN,NaN,NaN,0.000354554786556106,0.00024283411346188,NaN
35,NaN,0.228640251715405,0.000788476134097554,NaN,NaN,0.014777730376148
40,0.0787744944647451,NaN,NaN,0.000314507637723851,NaN,NaN
45,NaN,NaN,NaN,NaN,0.000310879578044056,NaN
50,NaN,0.195620081065082,NaN,0.000273971633943429,NaN,NaN
55,0.0664485180185641,NaN,0.000514916191762116,NaN,NaN,0.0223416327395183
60,NaN,NaN,NaN,NaN,0.000251086165255843,NaN
65,NaN,0.195650268004613,NaN,NaN,NaN,NaN
75,0.0679289883862525,NaN,0.000460535132910561,NaN,0.000237016893100668,0.0201696774982592
85,NaN,0.111849205989061,NaN,NaN,NaN,NaN
95,0.0574231093155332,NaN,0.000617643750286808,NaN,NaN,NaN
100,0.0473959137108396,0.17237694945528,0.000775525676377509,NaN,NaN,0.0258366105532271
150,0.0411254799560454,0.110450148967451,0.000539171566024415,NaN,NaN,0.0219855380885639
200,0.0472527144606747,0.111764809375779,0.00060148585545792,NaN,NaN,0.0296890772528473
250,NaN,0.115403108117183,0.000433537753640052,NaN,NaN,0.0301219671126919
300,NaN,NaN,NaN,NaN,NaN,0.0287852447017137
