t,CISHnRNA1_Obs,SOCS3RNA_Obs
0,0.000137904614788956,0.0036589712945393
30,NaN,0.00355246441908445
45,0.000372561078316099,NaN
60,NaN,0.00367183010053054
90,0.000292231141752643,0.00368059178069137
100,NaN,0.00347609283979017
150,0.000281639026609613,0.00373773972192349
200,0.000280438453752457,0.00378487927794907
250,0.000277143830856844,0.00344558124805362
300,0.000243789105776262,NaN
350,NaN,0.00372593605573122
400,0.000282495426154556,0.00358868712028585
450,0.000270550756518588,NaN
550,0.000263729017282865,NaN
700,0.000283167058024334,NaN
