t,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3RNA_Obs
0,0.000164850671939205,0.000158365382545616,0.00336833214027041
5,NaN,NaN,0.00275223191139169
5.5,NaN,0.000162544741150177,NaN
6,7.77835314856396e-05,NaN,NaN
10,6.33532361980126e-05,0.000153851220516014,0.00206097555346493
15,NaN,0.000122821620534263,0.00183175286386179
20,5.84033545223033e-05,NaN,0.00158211452274832
25,NaN,7.78470158326969e-05,NaN
30,6.44490865866108e-05,6.66059364180951e-05,0.00143165302482687
35,NaN,NaN,0.00143993101833195
40,6.68498296711486e-05,5.46752117587734e-05,NaN
45,NaN,6.16972979903098e-05,0.00135521295930212
55,NaN,6.13228970920836e-05,0.00132741898084723
70,NaN,6.70199777858014e-05,0.00126274951839186
85,NaN,6.3562602933329e-05,NaN
