t,EpoRJAK2_Obs,EpoRpJAK2_Obs,nSTAT5_Obs
0,2.34844243200805,-0.00184785961750432,0.0154916576220847
5.5,NaN,NaN,3.10305013034484
6,1.55890298817507,NaN,NaN
7,NaN,0.0592025693128891,NaN
10,1.73666399741,NaN,8.0771763312707
15,NaN,0.068504702160302,NaN
20,1.98153347893609,0.0659028130757681,32.5045166726105
25,1.86763860887013,NaN,37.5701362134024
30,NaN,0.0620272185346378,42.017087986102
35,2.00812796989477,NaN,NaN
40,NaN,0.057155599124413,40.1076815366359
45,1.96053645956308,NaN,NaN
50,NaN,0.05657000718504,35.4546001392333
55,1.99278138461732,NaN,NaN
60,NaN,NaN,25.9623209665317
65,1.86604894171155,0.0548645415813043,NaN
75,2.11439734701095,NaN,15.7937965412284
80,NaN,0.0575499662331925,NaN
90,2.07834405216792,NaN,12.532488858829
95,NaN,0.0617079597690603,NaN
100,2.04729475075726,0.0620221782826973,13.0535891006681
