t,pEpoRpJAK2_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,nSTAT5_Obs,EpoRJAK2_Obs,npSTAT5_Obs,EpoRpJAK2_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0148664195921422,-3.39428143980699e-05,136.940734787768,6.48326718303205,0.621088949776436,2.42231370292744,-0.960257390632084,-0.00937813886060614,0.0091775654683218,132.595964518235
10,NaN,NaN,NaN,NaN,7.70781063246283,2.05276508703582,NaN,NaN,NaN,32.3324800020498
15,0.523873078552921,NaN,40.8362514989365,NaN,NaN,NaN,31.839066141927,NaN,0.0611112336857926,NaN
20,NaN,0.00115568233176825,NaN,57.9396512947204,NaN,NaN,NaN,0.0355835402998422,NaN,NaN
25,0.266672332268255,NaN,NaN,NaN,25.5195462900976,2.75370769047143,NaN,NaN,NaN,20.2981631339464
30,NaN,NaN,NaN,NaN,NaN,NaN,29.8382673716628,NaN,0.0535091101491248,NaN
35,NaN,NaN,82.7674036260461,52.8886623981122,NaN,NaN,NaN,NaN,NaN,NaN
40,0.30137087395559,NaN,NaN,NaN,25.4345059788907,1.45570075503588,NaN,0.0522904835752554,NaN,55.6430514553788
45,NaN,0.00146477703972593,NaN,NaN,NaN,NaN,25.0255495695543,NaN,0.0468630328246121,NaN
50,NaN,NaN,77.8924438169468,NaN,NaN,NaN,NaN,NaN,NaN,93.7993010352057
55,0.194057181836577,NaN,NaN,33.7402635437408,21.5001682724909,2.45223526516953,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0826401949241769,0.0485497499442361,NaN
65,NaN,NaN,NaN,NaN,NaN,NaN,16.9708827281442,NaN,NaN,109.109538285133
70,NaN,0.00165832934939451,120.403509271665,NaN,17.5765309933536,2.13082173431849,NaN,NaN,NaN,NaN
75,0.290529240630179,NaN,NaN,33.6627506202876,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0667042148874459,0.0554991845665226,NaN
85,NaN,NaN,NaN,NaN,17.3417411608363,3.09261384677148,9.58939766136824,NaN,NaN,101.117002690108
90,NaN,NaN,104.078718085576,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,0.161721586588888,0.00101475715358775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.190014755756256,0.000794332921960559,115.316897789195,24.5000887166163,12.697562993906,2.8217666324357,17.2193997538142,0.0654843028510821,0.0575430060900795,121.40953571047
150,0.20465705313936,0.00180621099711045,102.054965031875,30.731465267045,10.6244332334035,2.0919401419716,13.0625881652909,0.0430898408940692,0.0460329157915699,100.43422645051
200,0.132235597862395,0.00191751165141557,113.147024200072,24.6824155071971,5.81883755811828,2.02212591547122,8.97442240687096,0.0594599615052278,0.0470380809316592,139.712212871151
250,NaN,0.00188850716958113,160.393235180243,20.1619753388592,0.239784197188683,NaN,8.99188811673316,0.0625422942573097,NaN,111.947721263789
300,NaN,0.00204035160446066,82.7119276227636,15.5524710400024,NaN,NaN,12.076731620724,0.0616597601618664,NaN,NaN
350,NaN,0.00127952179257391,115.876499788417,16.2744030735631,NaN,NaN,NaN,0.0333169238481665,NaN,NaN
450,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0642092618383519,NaN,NaN
