t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,0.027635352294942,0.000755542338409458,0.369501303047628,0.00586880480688468,0.000380943260193318,0.0126036940586126,0.00700493734445213,0.00806780050073742,-0.0255048303228032,178.039046729684
6,NaN,NaN,40.0166095637016,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,0.312727771579248,NaN,NaN,0.0112574304408426,NaN,NaN,NaN,NaN,NaN,NaN
8,NaN,NaN,NaN,NaN,NaN,NaN,0.00192238955299609,0.00554424360730747,NaN,101.215067924225
9,NaN,NaN,NaN,NaN,-0.000526191027331283,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,NaN,NaN,0.0156466670894255,NaN,NaN,0.0564350949756638,NaN
15,0.160524322417988,0.00124673427252545,35.8354216510686,0.0436391976430654,NaN,NaN,0.0114819935838246,-0.000249449869693314,NaN,94.4147302546957
20,0.171322171415339,NaN,29.952769015461,0.077849682816314,0.00469648787258212,NaN,NaN,NaN,0.0401036409302731,NaN
25,NaN,0.00244282744014742,26.2534198552824,NaN,NaN,0.0245631705893728,0.0201863445722129,0.0208905113237947,NaN,106.271983550811
30,0.0918684963714981,NaN,NaN,0.0787207661668688,0.000569554983025629,NaN,NaN,NaN,0.0831403828457606,NaN
35,NaN,NaN,23.4565990543875,NaN,NaN,0.0257780879704062,0.0287168506349767,0.0259267941342899,NaN,108.176940154639
40,0.0847308003435363,0.00177277337195262,NaN,0.069342499599462,0.023712791282144,NaN,NaN,NaN,0.113739709318828,NaN
45,NaN,NaN,14.277783249715,0.066057006942143,NaN,NaN,0.0211915334693436,0.0232951471415743,NaN,79.498505678099
50,0.112701685212778,NaN,NaN,NaN,0.0349030618728442,0.0260041643601894,NaN,NaN,NaN,NaN
55,NaN,0.00415442008104278,16.4329057942132,NaN,NaN,NaN,0.0212250957366627,0.024147787234833,0.124086637414354,127.131203127688
60,NaN,NaN,NaN,0.0558789397532942,NaN,NaN,NaN,NaN,NaN,NaN
65,0.0711536058603745,NaN,NaN,NaN,0.0483207966779136,0.0127619240254814,NaN,NaN,NaN,120.998555110907
70,NaN,NaN,17.9245443088888,0.0506625853078659,NaN,NaN,0.020414742239865,0.0145964764097516,0.103748846860731,NaN
75,NaN,0.0031447952525107,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,0.0678447651754442,NaN,NaN,NaN,0.0583383563164132,NaN,NaN,NaN,NaN,113.184771636547
85,NaN,NaN,3.07640665515492,0.0356785418982591,NaN,0.00956404950821676,0.0123517944378562,0.0197080182501208,0.0629985186472317,NaN
95,NaN,0.002324326388851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.0601681024654619,0.00225990772817315,9.04099823372736,0.040090724825768,0.0453629907690399,0.0148515603676687,0.00657130036010626,0.017040777100993,0.0648975607968927,176.271970822797
150,NaN,0.00324193341987694,NaN,NaN,0.0215543592759355,0.00874481004065904,0.0138773017668422,0.00968229801239864,0.0654458492486061,149.38962307661
200,NaN,0.00289097485806948,NaN,NaN,NaN,NaN,NaN,NaN,0.0542314214968482,NaN
