t,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3RNA_Obs
0,0.000162113114721916,0.000160250604375531,0.0127433695279783
4.5,3.93321793710992e-05,NaN,NaN
6,NaN,0.00015784098017521,0.0129375311127796
9.5,9.71277010737542e-07,NaN,NaN
10,NaN,0.00013441266140493,0.0124397974534305
15,-7.79864814586226e-06,NaN,NaN
20,-1.20445330531464e-05,5.12966208894774e-05,0.00995773837419153
25,NaN,2.28310356637122e-05,0.00751479099535124
30,-1.33596758866758e-05,NaN,NaN
35,-1.01137639268906e-05,-6.05992942473447e-06,0.00305753723457533
40,NaN,-1.19752479091671e-05,NaN
45,NaN,NaN,0.00083909002841328
50,NaN,-1.19176237907716e-05,NaN
55,NaN,NaN,-0.000190100462624501
65,NaN,-1.25912612499293e-05,NaN
80,NaN,-1.07695433202226e-05,NaN
95,NaN,-1.14307228315066e-05,NaN
