t,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0253694328230317,-0.160364344723631,0.000567863288470607,0.000485875245360895,0.000506615337558641,0.000329525452383971,-0.004391299539863,16.0533400440304
15,0.498215571209827,5.39220770024115,NaN,NaN,NaN,NaN,NaN,18.9739458743925
20,NaN,NaN,NaN,0.00119992559182161,0.00150350870320502,0.00167986933779067,NaN,NaN
25,NaN,NaN,0.00338966967928665,NaN,NaN,NaN,0.0611662926504383,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.3026098468678
35,0.584436914362391,3.91186927293376,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,NaN,0.000879207527592736,0.000696400502143495,NaN,NaN,NaN
45,NaN,NaN,0.00331530903992249,NaN,NaN,0.000850693237041122,NaN,10.6506495470627
50,0.432188459241861,3.74898480275016,NaN,NaN,NaN,NaN,0.0680946353782803,NaN
60,NaN,NaN,NaN,NaN,0.000309449133917319,NaN,NaN,NaN
65,NaN,NaN,NaN,0.000496369665649828,NaN,NaN,NaN,14.1874603424253
70,0.521071098350653,2.66622723019432,0.00231974508924073,NaN,NaN,0.000638892786209222,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,0.0977615617623252,NaN
85,NaN,NaN,NaN,NaN,0.000302594007864872,NaN,NaN,17.1446679594971
90,NaN,3.72234585242368,NaN,0.000341434858098879,NaN,NaN,NaN,NaN
95,0.403251489979459,NaN,NaN,NaN,NaN,0.000545943162352234,NaN,NaN
100,0.516946277285239,2.64605216442884,0.00357600569739403,0.000415250658972485,0.000262138612311559,0.000446434420829354,0.151786058019058,20.0555636660287
150,0.372387308268676,3.51621011247011,0.0030668973864965,0.0002149896450329,0.000355170222725886,0.000276488812458653,0.109413648998927,18.900986129316
200,0.441055722636751,1.94117553886909,0.00364106826452414,0.000324799243539843,0.000331869462812812,0.000364146190338434,0.0712415547918896,15.0320563932703
250,0.348994721517299,3.36225541315047,0.00263308414156267,0.000272646903464063,0.000249533854902138,0.000200904322268394,0.122607799964996,15.8567598981867
300,0.344728541936124,2.15941714915994,0.00239814647789608,0.000448329937685989,NaN,0.000219640342831884,0.118901691098132,22.4682637759724
350,NaN,NaN,0.0028498442517723,NaN,NaN,NaN,NaN,NaN
400,NaN,NaN,NaN,NaN,NaN,NaN,0.114257663641678,NaN
