t,pEpoRpJAK2_Obs,PTPAct_Obs,STAT5_Obs,pSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA4_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,-0.0324155838968953,-7.01955735073668e-05,219.462853646896,-0.277048128496032,-0.00635979463908126,-0.0185029423989609,0.00147326124821976,0.00664014247596651,0.0106586500030679,0.33685598872876,-0.00698463070047918,169.912668633457
10,0.597608037078463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,83.9531391316131,74.1707508008503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,91.5886422604705
25,0.293024582352432,NaN,NaN,NaN,NaN,NaN,0.0680422686721682,NaN,NaN,0.955483363821274,NaN,NaN
30,NaN,NaN,67.0402037543969,60.5882726664918,0.154244149931361,0.0183756329924586,NaN,NaN,NaN,NaN,NaN,39.9801127692307
35,0.261353646324652,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0535569897931484,NaN,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0617568334579749,NaN,NaN,0.146181075309896,NaN
45,NaN,0.000850806514109028,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.65788849922407,NaN,124.583921331524
50,0.122485109756893,NaN,92.1764493363911,39.5467123213787,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,NaN,NaN,NaN,NaN,NaN,0.0505014993960394,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,0.122693151760742,NaN,NaN,NaN,NaN,NaN,NaN,61.8309552739322
65,0.127100042643637,NaN,NaN,NaN,NaN,0.10440631272649,NaN,NaN,NaN,NaN,NaN,NaN
70,NaN,NaN,97.100978608217,9.71049041388968,NaN,NaN,NaN,NaN,0.0343303182973014,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.68910144999038,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,122.635584013711
85,0.128919879472224,NaN,NaN,NaN,NaN,NaN,0.0224361683560878,0.0295427786527958,NaN,NaN,0.168499802886124,NaN
90,NaN,0.00135318843513424,169.410354299196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,22.0481284553792,0.0530788928078283,NaN,NaN,NaN,NaN,NaN,NaN,NaN
100,0.16725014144116,NaN,129.537003846834,20.8563286630991,NaN,0.0942537882236659,0.02263200103471,NaN,0.0284134978024608,3.49002171596013,NaN,123.936861199673
150,0.203506008500517,0.000955637419118038,108.410341058744,15.5937963107188,0.0369062007135066,0.0399965628955817,0.0191932757492348,0.0248619929011401,0.0214147452871439,1.99832326239766,0.108847616667927,129.994733278877
200,0.200097437309233,0.00152751921456969,112.549236100862,NaN,0.0581880053029188,0.0467506494463077,0.0172174370872629,0.0177141234475052,0.0273160638575274,2.39293217895494,0.12501942141207,126.415395316523
250,NaN,0.00145823732569351,65.4765797915716,NaN,NaN,NaN,0.0242653134845353,0.0148569347886222,NaN,1.87262012507421,0.0873528920693162,125.921942179328
300,NaN,NaN,177.524307383385,NaN,0.0474403087551713,0.0406430167081858,0.0200635211762282,NaN,0.0309939264101979,2.51200027712322,0.0662076947565047,123.455652943877
350,NaN,0.00132611226376316,197.358623760964,NaN,0.0436995642495084,0.0443107762680429,NaN,0.0129458293628928,NaN,1.68416134056696,0.111757660938839,NaN
400,NaN,NaN,NaN,NaN,NaN,0.044982664629651,0.00946870810465196,NaN,NaN,2.20177564964093,NaN,NaN
450,NaN,NaN,NaN,NaN,0.0439940918032767,NaN,NaN,NaN,NaN,NaN,0.0976791107379252,NaN
500,NaN,NaN,NaN,NaN,NaN,0.0341061059075285,NaN,NaN,NaN,NaN,NaN,NaN
550,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0574516677092231,NaN
650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.09163805262994,NaN
