t,epo_level,pEpoRpJAK2_Obs,pSTAT5_Obs,CISHnRNA1_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
8,0,-0.0532776917914637,-0.552743572652114,0.000632294226156967,0.000277892933507457,0.000325900776928787,0.005599005130557
8,0,0.0763201051607771,-0.137972161925584,0.000470986724540495,0.000343208218623289,0.000442511089677645,0.00437798589068196
8,4.2857e-08,-0.0252771331842079,-0.0404829152948888,0.000177808029039285,0.000130363742219612,0.000330575836869893,-0.000552509374381021
8,4.2857e-08,0.0587507701003998,0.0871323748374336,0.000272375113692505,0.000298996038058874,0.000415040882163032,-0.00333965942885732
8,1.4286e-07,0.0112386713861147,-0.288096357659541,0.000705590145693626,0.000237687746309204,0.000247887501627331,0.010574047098073
8,1.4286e-07,0.0382352669468648,0.52042404078368,0.000689008789380028,0.000348009016479655,0.0003488806329128,0.001895557366048
8,4.2857e-07,0.127916813115335,-0.114878574172403,0.000236438711033475,0.000268921057034939,7.15022565288078e-05,0.0150888058618639
8,4.2857e-07,0.20136656305897,0.892407802982318,0.000463216899155732,0.000415225731445757,0.00032729630733457,0.0100168368751811
8,1.4286e-06,0.290991275162175,0.731731275344921,0.000421596097041643,0.000281365420202674,0.000255428054062395,0.0388764509430183
8,1.4286e-06,0.377014740755766,1.00421927780895,0.000648370590128743,0.000235821474445591,0.000291218063971074,0.0340322277928808
8,4.2857e-06,0.456923011149242,2.96047979890562,0.00117547569931353,0.000307304357334981,0.000361223261169899,0.0250160213756629
8,4.2857e-06,0.630020816618847,2.28820697848178,0.000971678954096863,0.000256208869066271,0.000273821987296199,0.0264839673371677
8,1.4286e-05,0.52815926919787,4.51820239265247,0.00142095259075463,0.000794168901802991,0.000535274186601663,0.0171309966661113
8,1.4286e-05,0.67689174304329,4.09900446621128,0.00147499718962705,0.000683296713277372,0.000605526592860763,0.0161976990169785
8,4.2857e-05,0.595641278330388,4.97311144510836,0.00186203735476034,0.00088487401532851,0.00082979068171189,0.0231932150922834
8,4.2857e-05,0.684576151192658,4.56541226082398,0.00179132215692665,0.00119715610566128,0.000923285898325269,0.014297692621302
