t,epo_level,SOCS3nRNA2_Obs,Compound_2_Obs
33,6.6667e-07,0.000202312660447144,26.5500617870709
33,6.6667e-07,0.000329274065581279,22.8082789794376
33,1.3333e-06,0.00023430248414055,18.0792886281859
33,1.3333e-06,0.00025445403636158,22.378199045901
33,2.6667e-06,0.000199902513306664,17.313301853235
33,2.6667e-06,0.000317939693569131,22.5731145314859
33,5.3333e-06,0.000249708419963013,24.0189573469857
33,5.3333e-06,0.000294843553597662,19.0509024134329
33,1.0667e-05,0.000336295508523347,23.4622146049524
33,1.0667e-05,0.000357678871505347,9.74112457741223
33,2.1333e-05,0.000192479307169203,11.3028258436364
33,2.1333e-05,0.000330054048387694,8.56905695670042
33,4.2667e-05,0.000168736608093993,16.6728726330502
33,4.2667e-05,0.0004028876810496,18.0746636022311
