t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3nRNA1_Obs,SOCS3nRNA4_Obs,Compound_1_Obs
0,0.009342043357833,5.62883511983257e-05,0.0277252616508197,0.000643085441382263,0.000452924951374305,0.00792348120881343,0.005629001598984,-0.00387449366252127
10,0.0751793412443879,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,NaN,NaN,0.0929827128443909,0.000345455030539581,NaN,0.00537347241045706,NaN,0.0487235583971614
20,NaN,0.000122605139427452,NaN,NaN,0.000632810752943571,NaN,0.00697786039353574,NaN
25,0.0520304618784643,NaN,NaN,NaN,NaN,NaN,NaN,0.0402095703955473
30,NaN,NaN,0.165292656818039,NaN,NaN,NaN,NaN,NaN
35,0.0333586202235938,0.000250550882507101,NaN,0.000719588716213643,0.000564420601362454,0.00506323916942182,NaN,NaN
40,NaN,NaN,NaN,NaN,NaN,NaN,0.00578905777332841,0.0417288802270342
45,NaN,NaN,0.167006335218504,NaN,NaN,NaN,NaN,NaN
50,0.0223015319604235,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,NaN,0.0002881980437306,NaN,0.000676997609361348,0.000487878051890054,0.0046142489717408,NaN,0.0323373625851785
60,NaN,NaN,0.135675253638305,NaN,NaN,NaN,NaN,NaN
65,0.0176372540981887,NaN,NaN,NaN,NaN,NaN,0.00722355330606096,NaN
75,NaN,NaN,0.0883963376086046,0.000703518399905076,NaN,0.00572065370202206,NaN,0.0318379011783403
80,NaN,0.000308698950096454,NaN,NaN,0.000700371474570416,NaN,NaN,NaN
85,0.0125596698155207,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,0.00630099408322204,NaN
95,NaN,NaN,NaN,NaN,NaN,0.00504187741926872,NaN,0.0222902552095726
100,0.00943579080048165,0.000410801050729855,0.0858260596005429,0.000567572885471037,0.000576337635840999,0.0064405728287292,0.00505090019512195,0.0387920842855414
150,0.00970646427184415,0.000354553828850699,0.0952619764972823,0.000372251192631352,0.000611809773185939,0.00591305062582724,0.00589862721420433,0.0300986330757428
200,NaN,0.000331755678658862,0.0754946653764915,0.000585428548527604,0.000840555294048357,0.00538705443224385,0.00665653750287339,0.018897710188948
250,NaN,0.000380608970613332,0.0366728331143499,0.000437786294960308,0.000561592311155231,0.00338670447456845,0.00634603645581895,NaN
300,NaN,0.000302200162191778,NaN,NaN,NaN,NaN,0.00789198024869114,NaN
