t,epo_level,PTPAct_Obs,CISHnRNA5_Obs
120,2.5e-09,-9.79709318312273e-06,-0.00722973557694431
120,2.5e-09,0.000314860406442316,0.00410088313660401
120,2.5e-09,0.000365241565904821,-0.00329178542582504
120,2.5e-08,0.000369953018439623,0.0643391160598444
120,2.5e-08,0.000710131741242434,0.0525520168154792
120,2.5e-08,0.000826237144258892,0.0474172605670951
120,1.25e-07,0.000275043383553943,0.0617801142282372
120,1.25e-07,0.000918144479994623,0.0761667847213158
120,1.25e-07,0.00134742387311659,0.06664766241218
120,2.5e-07,0.00121087947280091,0.0610828879024741
120,2.5e-07,0.00149696398386737,0.0625433090891603
120,2.5e-07,0.00230607060144672,0.0830337309311733
120,2.5e-06,0.0037389630425758,0.114531726964156
120,2.5e-06,0.00440737225399583,0.106681422500173
120,2.5e-06,0.00492715487142288,0.12551643185098
