t,CISHnRNA1_Obs,CISHnRNA5_Obs,SOCS3RNA_Obs
0,0.000155851450778427,0.000155890190886029,0.00306816973944434
15,0.000161928314351351,0.00015582919731136,0.00342079154794036
25,0.000160654214100001,NaN,0.0037162558865398
30,NaN,0.000163442164035555,NaN
40,0.000165291770252507,NaN,0.00344668974911486
45,NaN,0.000164479310571486,NaN
55,0.000172304651437584,NaN,NaN
60,NaN,0.000162114806063231,0.00364211377836027
75,0.000160849707341496,NaN,NaN
80,NaN,0.000162554991134116,0.00361936218829423
95,0.000158765799270945,NaN,NaN
100,NaN,0.000160638865373337,0.00343960324883602
