t,Rec_i_Obs,Rec_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,313.20094956195,1.46174564790942,159.348767725248,3.21545288733059,150.622920798564
3.5,NaN,1.15405527917922,NaN,NaN,NaN
6,330.001057073975,NaN,178.361079906288,NaN,144.935678840557
6.5,NaN,NaN,NaN,3.06884152250663,NaN
7.5,NaN,1.06824677448047,NaN,NaN,NaN
10,282.249411485248,1.38512473755116,175.438290394828,NaN,192.26202861683
15,NaN,1.10062283300889,NaN,2.27467180750802,NaN
20,355.76153031389,1.15416253158928,159.837960293259,2.52325356812738,176.948002769595
25,240.468196975875,1.33617881555278,126.107827832809,NaN,165.472023549719
30,NaN,NaN,NaN,2.37796272690457,NaN
35,289.753255091165,1.1402605450533,146.562143107238,NaN,188.746702097019
40,NaN,1.49601155319945,NaN,2.84896787159725,NaN
45,301.850221144156,NaN,212.417811164038,NaN,NaN
50,NaN,1.01092345124261,NaN,NaN,NaN
55,343.380343660238,NaN,NaN,NaN,NaN
70,312.613007009148,NaN,NaN,NaN,NaN
