t,TGFb_pRec_Obs,geneD_Obs
0,0.000148166276575925,1.06191470977204
60,0.0488139578848871,NaN
65,NaN,3.29476847488381
100,0.037081468813917,NaN
150,NaN,3.92619320565182
200,0.0220414331329273,5.08539085029379
250,0.0163349146656478,NaN
300,0.0144847514533763,7.22243800917188
350,NaN,7.90011478683106
400,0.00974443089970423,NaN
450,NaN,8.89386276613335
500,0.00738552067399832,NaN
550,NaN,8.5858894561067
600,0.00727666980671011,NaN
700,NaN,9.73752155350527
750,0.00184390893530088,NaN
800,NaN,9.41772871679835
900,0.00476497914963473,NaN
1000,0.00128505162087143,9.20040182655537
1500,NaN,7.25255470923254
