t,pS3_Obs,ppS2_Obs,geneA_Obs
0,-0.0100878101073893,-0.0789797033565621,0.762386299044874
50,NaN,17.3819888445402,NaN
60,0.553500780287187,NaN,NaN
65,NaN,NaN,4.10277590258828
100,NaN,14.5082476856982,NaN
150,0.468859866822665,11.0764683684708,5.38489062613647
200,0.351626585083596,7.25922990735347,6.31538798921633
250,0.328493681811685,5.96624932756325,6.57899073506548
350,0.245203609489485,3.81632954310211,7.17937511683641
400,NaN,NaN,6.9485251540168
450,0.177711548947802,2.49747729481125,NaN
500,NaN,NaN,6.41311485168703
550,0.130622634197462,1.63976344779686,NaN
600,NaN,NaN,4.40416024587079
650,0.140229072686103,0.612511829662388,NaN
750,NaN,NaN,5.05274434515191
800,0.0481129768953898,0.4397512003097,NaN
850,NaN,NaN,5.00282272525096
950,NaN,0.646778498496374,NaN
1000,0.0528215560306441,NaN,3.60917613048208
1500,NaN,NaN,1.9876110140421
