t,pS3_Obs,ppS2_Obs,geneD_Obs
0,0.00417176841180158,-4.71966456092506,0.479487805805186
45,NaN,113.87803456775,NaN
65,NaN,NaN,1.15746905729187
75,0.53729602248707,NaN,NaN
95,NaN,96.9410475646333,NaN
150,0.461635839585793,84.094579548656,4.72159327936633
200,NaN,66.8419515519276,4.40037730100721
250,0.322411705116188,54.2676499362242,5.47588161589862
300,NaN,51.0708718319385,NaN
350,0.206948503323019,NaN,7.3563304161377
400,NaN,38.4541998665097,NaN
450,0.16819500441734,29.2570593963084,8.75252556924954
550,0.139190450820262,15.9681724712709,7.57997777350698
650,NaN,16.6699349215469,7.88207887334236
700,0.0910079118531418,NaN,NaN
800,NaN,7.4158356111465,8.3372764391042
850,0.0543428497549092,NaN,NaN
950,NaN,7.41926384514514,NaN
1000,0.0459774273970039,9.31236221185815,7.81261731436645
1500,0.0221986784042133,NaN,6.03011129420338
