t,S4_S4_S4_Obs,pS3_Obs,ppS2_Obs
0,0.0328419662186475,-0.000423579350551319,0.0350312381473707
55,NaN,-0.000437611197299252,NaN
60,0.0658984730267972,NaN,0.0641750724486772
100,0.0105339636414973,-0.0812481728331936,-0.0341554945352551
150,NaN,0.116617898792481,NaN
200,0.0823495217569904,NaN,-0.056432881444481
250,0.148361087359386,0.0807090092272186,-0.116992383503669
300,NaN,0.170262987011595,NaN
350,-0.0788847706298245,0.0242749873113284,0.0643559191402914
400,0.0987324407730109,NaN,0.0370142748300546
450,NaN,-0.000130015573679448,NaN
500,-0.145610099788702,NaN,-0.0830242982850382
550,NaN,-0.16122371736236,NaN
600,-0.00322927969679457,NaN,NaN
650,NaN,0.137541603839627,0.0482179618345334
750,0.057602129584384,NaN,-0.0691307686485768
800,NaN,0.0493848790414416,NaN
900,0.105845827945484,NaN,0.0320795388195636
1000,-0.00875775351917894,0.0090508040569046,0.00276699180172776
1500,-0.0328140202886221,NaN,0.0218123180661609
