t,S4_S4_S4_Obs,pS3_Obs,ppS2_Obs
0,0.0519370470455599,0.203301507902893,0.0102146680821972
60,NaN,0.101347716988331,NaN
65,0.00925441681066926,NaN,0.0184536871819126
100,NaN,-0.0792260079678411,NaN
150,-0.0958806685107719,NaN,-0.0111037943852427
200,-0.0798558204199983,-0.0587536399206293,-0.0489450139090415
250,NaN,0.218882091817529,0.0468948892758632
300,-0.110676888431308,NaN,NaN
350,0.00338729557299378,-0.00542894118867545,0.0408401229389668
400,NaN,-0.0810566458457901,NaN
450,-0.000397417140775391,NaN,0.206163442555004
550,NaN,-0.11622605780392,-0.00268417668768967
600,-0.0942575847488483,NaN,NaN
650,NaN,0.0573799135784159,NaN
700,-0.118227264687481,NaN,0.0418009426257292
800,NaN,-0.02591075709474,NaN
850,0.0595554899906163,NaN,0.0609826426831829
950,NaN,-0.0366155670633004,NaN
1000,0.070247536732846,0.100172583972797,0.0584525618953654
1500,0.0223372084306417,NaN,NaN
