t,S4_Obs,pS3_Obs,ppS2_Obs
0,74.8262723940933,-0.0175037984747245,1.28001894548836
50,NaN,NaN,48.3833141006838
55,NaN,0.554903818886966,NaN
60,34.9734061270763,NaN,NaN
100,39.6524369514857,0.512622969384881,45.3824371319272
150,NaN,0.391863668999433,33.405975287418
200,38.5633209258282,NaN,31.5059490980421
250,43.7168464167415,0.31367004467916,24.7700335835341
300,NaN,0.314786147383268,NaN
350,43.2313887081356,NaN,14.9586227788398
400,NaN,0.228541148082939,15.6530593839974
450,45.1359568340765,0.177173018772863,NaN
500,NaN,NaN,11.3319382129862
550,56.360636583795,0.137350463106676,NaN
600,NaN,NaN,6.60277814238098
650,46.4963433822773,NaN,NaN
700,NaN,0.0820370597146454,NaN
750,NaN,NaN,6.68811969167532
800,54.9464173739939,0.0996720177137625,NaN
900,NaN,NaN,3.08704232649008
950,51.4562368679951,NaN,NaN
1000,66.1720637233631,0.0669198835917205,4.35883276792406
1500,66.5695696584501,NaN,NaN
