t,pS3_Obs,ppS2_Obs,geneA_Obs
0,-0.467087284005398,0.0435910273591175,0.72008272791352
50,NaN,6.91160579544277,NaN
55,8.87749107795918,NaN,NaN
65,NaN,NaN,3.27913183879152
100,9.13520024371087,6.06160702772867,NaN
150,7.03424860573232,5.03932120841654,6.71663459288967
200,NaN,4.07265133120836,7.3123064807591
250,4.98165682504334,3.43169052360171,7.15944500948119
300,4.14397977344468,NaN,NaN
350,NaN,2.78065435771996,8.2406013110791
400,3.28361307591982,2.09781773571724,NaN
450,2.86901100193849,NaN,8.29102949664557
500,NaN,1.52704674900543,NaN
550,NaN,NaN,7.82080643650315
600,2.23636238475785,1.65242163500788,NaN
650,NaN,NaN,7.08743274399797
700,1.55316027429639,0.924196601036415,NaN
800,NaN,1.27241831085581,7.10556443522085
850,1.35142637538184,NaN,NaN
950,NaN,0.851339255049617,NaN
1000,1.11876995869657,0.279806258865577,4.73368852802553
1500,NaN,NaN,4.21328352485714
