t,S4_S4_S4_Obs,pS3_Obs,ppS2_Obs
0,-0.0383248555699388,0.0274597909214054,-0.0185517455204177
50,-0.0807259962783304,NaN,NaN
55,NaN,-0.188773735086773,NaN
75,NaN,NaN,-0.0734141042051817
100,0.0132438820496392,0.0553657825802502,NaN
150,-0.0464999641314805,-0.108468202296276,-0.0577612256922102
200,-0.0951014848695713,NaN,NaN
250,0.0466141372766204,0.0108690170506463,-0.0651787569882869
300,NaN,-0.0106404821156927,-0.0252541269833293
350,-0.0489269183397904,0.166266959766146,NaN
400,-0.124384435617782,NaN,-0.147691138850229
450,NaN,-0.167630538910131,NaN
500,0.0613513244837018,NaN,0.00871596607054603
550,NaN,-0.0107659685736711,NaN
600,0.0197033183750766,NaN,NaN
650,NaN,-0.021037517716426,0.123209536362902
700,0.095222500111743,NaN,NaN
800,NaN,-0.0169154617729089,-0.0583575229063189
850,-0.0317707945282091,NaN,NaN
950,NaN,-0.0647606924570143,-0.0285702353113685
1000,0.184032701843378,0.0274245170635537,-0.0573895028512609
1500,NaN,NaN,0.0191187048019994
