t,S4_S4_S4_Obs,pS3_Obs,ppS2_Obs
0,-0.0514898584036475,-0.134414135629271,-0.12974626451567
50,-0.019003232882661,NaN,NaN
60,NaN,-0.0648978923962827,NaN
65,NaN,NaN,-0.0576439303849878
100,-0.0536466742695188,-0.060501842740561,NaN
150,-0.0151454368768203,NaN,0.0194517747754172
200,0.0924932989866876,0.0386757544255632,-0.188427905692538
250,-0.163753066635891,0.0844594909685871,0.048742421163335
350,0.0202297221078951,0.16165232442752,-0.155604752623436
400,0.0262041491358371,0.0563624419923193,NaN
450,NaN,NaN,0.023829522193457
500,0.0579928045481382,NaN,NaN
550,NaN,0.0713473282408646,0.0628331611310322
600,-0.0161137693028626,NaN,NaN
650,NaN,0.0241576587981382,0.0244402689851001
700,-0.0652999015377378,NaN,NaN
800,NaN,0.00433318364431732,-0.0182273102339197
850,0.0316161698965315,NaN,NaN
950,NaN,NaN,-0.0638690730431318
1000,-0.106696170291295,0.0979626677419556,-0.146693402997938
1500,NaN,NaN,-0.0509491897696898
