t,Z_state_Obs,Y_state_Obs,A_state_Obs
0,0.0714925288151936,0.811401906476976,0.289332637090718
0.2,0.18784131181601,NaN,NaN
0.25,NaN,0.704459479409756,NaN
0.35,0.394488686572964,NaN,NaN
0.5,NaN,0.245387678688976,NaN
0.55,0.0928228847034776,NaN,NaN
0.75,NaN,0.470037282665295,NaN
0.8,0.109673701816922,NaN,NaN
1,0.109226426833801,0.512935131993375,NaN
1.5,0.165279852222568,0.633946013323711,6.02075646094904
2,NaN,0.692861643696237,NaN
2.5,NaN,0.695283429046497,10.1129846957331
3.5,NaN,0.782668306292049,NaN
4,NaN,0.608243019959404,10.3466555400597
5.5,NaN,NaN,17.3815082380675
7,NaN,NaN,15.8070217653905
9,NaN,NaN,21.1997146024265
10,NaN,NaN,23.6902465313098
15,NaN,NaN,23.8042451961758
20,NaN,NaN,28.0256946867839
