t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs
0,-357.000624320628,162.138795861236,169.795798118421,3.20778670761528,-192.211010212158,-22.5999903153354,-197.698698776288,167.247850347523,118.212682319893,-10.8733933323302,174.568439060287
3.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,195.843022888317
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,146.489690819364
9.5,NaN,NaN,NaN,NaN,NaN,NaN,152.227565492031,NaN,NaN,NaN,NaN
10,172.177742640623,NaN,107.177616212178,NaN,243.473845742014,52.4922282286022,NaN,NaN,133.441823447672,44.2571866759759,174.982270147332
15,NaN,254.253764559526,NaN,75.5210131447595,NaN,NaN,NaN,80.0917300075815,NaN,NaN,141.184200648429
20,-134.983441038881,NaN,NaN,NaN,NaN,NaN,173.169675798067,NaN,257.218151399009,NaN,162.378860059858
25,NaN,NaN,70.210566473711,106.400641070828,216.600982586244,123.89854085803,NaN,NaN,NaN,106.234714206562,161.556588007802
30,427.755695149336,303.105606121397,NaN,NaN,NaN,NaN,275.436848570427,54.9153219678985,NaN,NaN,164.720916952405
35,NaN,NaN,NaN,NaN,341.056069050257,204.476924253216,NaN,NaN,962.646078994012,84.859602070705,158.662719722258
40,NaN,NaN,42.3147096955702,136.184709436909,NaN,NaN,439.622748840112,NaN,NaN,NaN,NaN
45,1003.7143554209,360.741840286411,NaN,NaN,NaN,NaN,NaN,47.9367247432573,674.559319778638,NaN,157.345234149862
50,NaN,NaN,43.6070239471032,NaN,863.251004921435,252.633957878047,997.237285259962,NaN,NaN,100.269411125266,165.405528775337
55,819.523687947059,NaN,NaN,116.583671221707,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,1193.00113160779,NaN,NaN,36.0653315781821,1037.45681079882,NaN,159.485735513494
65,NaN,327.137402006067,NaN,NaN,NaN,282.12403431541,766.518935322742,NaN,NaN,126.735284821864,NaN
70,1295.04401353314,NaN,40.1635192635375,143.058243966191,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,1192.04872274953,NaN,1596.01662939039,NaN,NaN
80,NaN,NaN,NaN,NaN,1503.97919050101,NaN,NaN,39.1191760952841,NaN,131.059590192378,NaN
85,1871.08267523773,257.588720859194,45.4041011202223,NaN,NaN,312.969707682904,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,142.592021525972,NaN,NaN,2022.91427961214,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,1731.33056490041,NaN,NaN,NaN,1795.48359309698,131.221415721374,NaN
100,2205.62423989822,433.557689586464,49.0756701629098,118.187986850011,2202.13898159368,336.281018000684,1743.67236356494,35.3981801417366,2178.36719887472,123.806562018077,NaN
150,3683.35820050596,536.352110144672,46.7180145436307,95.0208373020273,3136.39837939799,330.794139428337,3275.49680153219,46.1145868407301,3003.30122781181,124.931288476126,NaN
200,4465.96267263326,605.575466652555,48.6754252568383,116.640288276731,4449.17012224531,399.979405206724,3987.06869877384,45.5781305367113,4321.51303586552,131.351440423474,NaN
250,6043.9043989557,631.212029049856,44.0647474864072,115.378188469209,5255.66378318983,380.394617608808,5231.33028213395,43.0761091372822,5355.05844884668,120.767762173182,NaN
300,7219.49190803073,763.999014536719,41.0898645736702,119.317136836701,6784.25786540291,352.145827962474,6436.76292882293,32.8952155113909,6945.36886970094,127.20653924589,NaN
