t,Rec_Obs,Rec_i_Obs,Compound_1_Obs,Compound_2_Obs,Compound_9_Obs
0,1.39334883721999,268.244576380185,1.15687167621506,245.935060859227,0.129412891875021
4,1.44198020045157,NaN,NaN,NaN,-0.0772826080871057
4.5,NaN,244.663903946931,1.16971740091023,239.115956442775,NaN
8.5,1.2988760824458,NaN,NaN,NaN,0.00832284191082204
9,NaN,244.644659007107,1.45087277189328,252.40874191568,NaN
15,1.45263650449898,239.904620037827,1.31491321037983,243.013359706885,0.00509773137201016
20,1.43866983455449,280.397228293639,1.32276600745142,223.265667207167,0.146418990406121
25,1.41988185141281,201.368400323414,1.44879075893229,259.746692025023,0.158127237892096
30,1.22775811022789,267.25348692028,1.62987991519142,NaN,0.0335389376173289
35,NaN,NaN,NaN,250.338127859308,NaN
40,1.21686985437647,222.241611267928,1.16579914908985,247.132685775937,0.00719274269216352
45,1.30717985857181,200.899565616328,1.42126039175584,NaN,NaN
50,NaN,NaN,NaN,242.83736911436,-0.14549487509756
55,1.3442173599319,264.10675974971,NaN,NaN,NaN
60,NaN,NaN,1.29501913411286,NaN,0.0122517798088297
65,NaN,NaN,NaN,266.994059248485,NaN
70,1.45109116560749,235.263674901074,1.35476615785857,NaN,NaN
