t,Compound_1_Obs,Compound_3_Obs,Compound_5_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_11_Obs
0,-133.423723520012,171.521750584804,155.943693747352,-12.3733955276856,168.376415244938,-205.332716067079,160.73910327883
6.5,NaN,NaN,NaN,NaN,NaN,NaN,156.451239524944
10,-124.724642760852,138.258670567068,48.0542329018626,-330.696008882902,148.841459633107,4.1637238486627,NaN
15,NaN,NaN,NaN,NaN,NaN,NaN,190.715572446532
20,153.629670879995,99.7027156158965,-65.7668260211924,NaN,NaN,NaN,151.483042769321
25,NaN,NaN,NaN,117.792401549141,93.1112973826294,227.665258805463,NaN
30,NaN,73.0919618811923,56.7674661477548,NaN,NaN,NaN,178.652759976834
35,483.701813928531,NaN,NaN,231.263127847041,64.4452477957509,693.014238574758,181.796029702891
45,937.114504579991,48.5339792278008,375.116263263031,NaN,51.6538000061047,NaN,160.165733733277
50,NaN,NaN,NaN,653.236402901021,NaN,814.072905834679,NaN
55,NaN,62.4869964327751,990.020103755705,NaN,NaN,NaN,150.192234419319
60,1012.56477177754,NaN,NaN,NaN,38.430870660327,NaN,NaN
65,NaN,NaN,NaN,1083.53916380564,NaN,1120.84701175491,180.983365615223
70,1188.76746766932,35.1477272813682,1134.05340014133,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,48.1909821857006,NaN,NaN
80,NaN,NaN,NaN,1457.9854035214,NaN,NaN,165.779551168524
85,1561.8415148585,58.469070247529,1436.87184407564,NaN,NaN,1428.67454127485,NaN
95,NaN,NaN,NaN,1768.1151146493,50.6403278259267,NaN,169.168498633957
100,1821.87532207383,42.6648188457389,1299.25646463513,1790.58879431089,52.6055786524906,1800.00128137759,173.758019910972
150,2763.33241605687,51.5295289320858,3012.67005062391,2944.86409040079,59.1243452563603,2892.23925962,142.864877403141
200,4249.67332350557,41.9091231062997,3894.94698279076,3261.91805978553,63.809188618437,3954.63497773203,NaN
250,5033.43023244134,48.6477100127036,4635.89160791264,4732.37183440116,52.8416474259715,5019.92981893403,NaN
300,6312.24096470598,68.3447822995131,5298.13455828541,5669.20194459251,56.9325425688304,5762.170498989,NaN
