t,epo_level,Compound_1_Obs
12,2.5e-09,0.0522621744463715
12,7.905e-09,0.0484692954537796
12,7.905e-09,0.0545856033757012
12,7.905e-09,0.00614218550625397
12,1.25e-08,0.00607626852248136
12,1.75e-08,0.0662342711781426
12,2.5e-08,0.261038522109155
12,3.95e-08,0.0888329342076094
12,7.9e-08,0.0753986879140037
12,7.9e-08,0.0804976866317112
12,7.9e-08,0.0170780248897491
12,1.25e-07,0.00569638940110621
12,1.25e-07,0.0160037056488703
12,1.25e-07,0.176078701895517
12,1.7675e-07,0.167238061857127
12,2.5e-07,0.158892335968385
12,2.5e-07,-0.00177800501835585
12,2.5e-07,0.00399608038716698
12,7.905e-07,-0.000721882038530234
12,7.905e-07,0.021992994812529
12,7.905e-07,0.0366919818332738
12,2.5e-06,0.0222424360497772
