t,EpoRpJAK2_Obs,PTP_Obs,SOCS3nRNA2_Obs
0,-0.068623126540585,5.15183827693409,0.00108057791448999
15,0.627477640155554,5.8404945841869,NaN
20,NaN,NaN,0.0056433209073616
30,NaN,5.17982607082175,NaN
35,0.804076315720928,NaN,NaN
40,NaN,NaN,0.00376691660734927
50,NaN,4.96532074874147,NaN
55,0.884642999206777,NaN,NaN
65,NaN,5.31658489703643,0.00370222798085732
75,0.785358090542337,NaN,NaN
85,NaN,5.87994150072697,NaN
90,NaN,NaN,0.00336270773712951
100,0.802660190301586,5.99291194139554,0.00280417598331138
150,0.847110550624392,5.60587223058314,0.00287952400217185
200,NaN,5.41289779100304,0.00255312279298143
250,NaN,5.44344375583296,NaN
300,NaN,4.63419351983356,NaN
