t,epo_level,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs
14,6.6667e-07,0.0795096662151877,0.000110763665742274,0.000106780073474107,0.36050705093263
14,6.6667e-07,0.106281898862083,7.32343854145965e-05,0.000105902427964424,0.4063174721374
14,1.3333e-06,0.12599700159564,0.000203501867817577,0.000110739700345665,0.413884649185341
14,1.3333e-06,0.139999008538315,0.000196697695593294,0.000140836147120422,0.358691702512374
14,2.6667e-06,0.154049101919829,0.00023455809711951,0.000118718226183365,0.382780126697261
14,2.6667e-06,0.156616156779394,0.00026150396900287,0.000134217063900282,0.4455184538713
14,5.3333e-06,0.179966334121398,0.00028873851883031,0.000124498638195334,0.456273399010214
14,5.3333e-06,0.189908086813115,0.000331792857465449,0.00015408353079632,0.40669243158469
14,1.0667e-05,0.188971586964072,0.000345794184370292,0.000175396502434946,0.459425361366117
14,1.0667e-05,0.199386949063021,0.000371734609325982,0.000164014802139675,0.394843433640247
14,2.1333e-05,0.182801083293358,0.000352736058644743,0.000197048820294931,0.433769314185346
14,2.1333e-05,0.198656898995951,0.000326885962249578,0.000162034264950106,0.390560657445144
14,4.2667e-05,0.193489381220708,0.000351391055364429,0.000214823623513836,0.393933737964146
14,4.2667e-05,0.217721637836338,0.000396026993544654,0.000197921474036043,0.420661660965181
