t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA3_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,-0.0337560122633503,3.70305896425241e-05,1.00519249886179,0.0100071675974467,0.00762315009828245,1.17492279596927,-0.00863149290995815
6,0.895799654472259,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,52.0367807862531,NaN,NaN,NaN,NaN
7.5,NaN,NaN,NaN,0.0103299665219113,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,0.0410088916734883
10,0.631581493474318,0.000868495336425851,NaN,NaN,-0.00605780572078335,2.09674793275119,NaN
15,NaN,NaN,36.5726407780107,0.0443611039925745,NaN,NaN,NaN
20,0.40543731807324,NaN,28.9860635773753,NaN,NaN,1.96798330122153,0.0919050156128375
25,0.345327988034532,0.00146047654638361,NaN,0.166002522264066,0.0530049023624582,NaN,0.158075114970237
30,NaN,NaN,23.7070162327755,0.200483671476228,NaN,1.83076884908272,NaN
35,0.322094974275397,NaN,NaN,NaN,NaN,NaN,NaN
40,0.246218495757571,0.00176769009456881,18.501518976862,0.24298022604747,0.204655785762396,3.28917188842345,0.279210538652026
45,NaN,NaN,17.9235237746327,NaN,NaN,NaN,NaN
50,0.225513560669613,NaN,NaN,0.21803531287367,NaN,NaN,0.285248653314046
55,NaN,0.00213547379944375,NaN,NaN,0.21264820263981,5.35330097219908,NaN
60,NaN,NaN,14.8305651064566,NaN,NaN,NaN,NaN
65,0.148625206336222,NaN,NaN,0.186177292710436,NaN,NaN,0.240390288949419
70,NaN,0.00199940162970782,11.8942496078124,NaN,0.175739268827682,9.32644580731092,NaN
75,0.160241449700092,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,0.132810076150696,NaN,NaN,0.215539567077236
85,NaN,NaN,9.16573915782497,NaN,NaN,10.8546257598208,NaN
90,0.150081175932939,0.0022161445459468,NaN,NaN,0.141408916547678,NaN,NaN
95,NaN,NaN,NaN,0.103079067879478,NaN,NaN,NaN
100,0.123776037090284,0.00202139136459562,10.5216227607423,0.117781092520463,0.124801356246757,11.580102934879,0.170532325539107
150,NaN,0.00194624140440704,8.66541505200148,0.0941833497491284,0.0816343940458592,8.74935761896222,0.125350667268129
200,NaN,0.0020837879680776,NaN,NaN,0.0814024517553151,7.70471289337075,NaN
