t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs
0,0.0616815815645917,0.115638007615824,0.00129832167253518
15,NaN,1.55047798916978,NaN
20,0.62903915347464,NaN,0.00537208142150057
30,NaN,1.30309280586085,NaN
40,NaN,NaN,0.00336986582749206
45,0.811848646943068,NaN,NaN
50,NaN,1.27440514284898,NaN
60,NaN,NaN,0.00336725416423628
65,NaN,0.982711079365092,NaN
70,0.889638739814336,NaN,NaN
85,NaN,1.28342539827929,0.0031204977012325
95,0.780641430277037,NaN,NaN
100,NaN,1.23988498817061,0.00272928050352531
150,0.686097528449794,1.36608788730354,0.0027028280561117
200,0.834196194163654,1.06656518875691,0.00322919605711124
250,NaN,1.14760564370486,NaN
300,NaN,1.0268028418988,NaN
