t,pEpoRpJAK2_Obs,PTPAct_Obs,pSTAT5_Obs,CISHnRNA5_Obs,SOCS3_Obs,Compound_1_Obs
0,0.0142051668007641,6.1816976438332e-05,0.431024029639097,0.00183896089546529,0.10343786362024,-0.0054516119265656
10,NaN,NaN,44.7969949830534,NaN,NaN,NaN
15,0.506518580959081,NaN,NaN,-0.0027180569990675,0.34284555836377,NaN
20,NaN,NaN,29.2012054823593,NaN,NaN,NaN
25,NaN,0.00176214298368587,NaN,NaN,NaN,0.0639231284780883
30,0.370096478993679,NaN,NaN,NaN,NaN,NaN
35,NaN,NaN,21.2067768319213,0.0216004709115855,0.337923557196834,NaN
45,0.267787304226783,NaN,18.3072859077838,NaN,NaN,NaN
50,NaN,NaN,NaN,NaN,NaN,0.0737996857613445
55,NaN,0.00187175034420923,NaN,0.0302950277283909,0.941854614027572,NaN
60,NaN,NaN,19.2345767606588,NaN,NaN,NaN
65,0.221715143739141,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,15.2181884449811,0.0269522952660913,1.35013983825,0.0735961094209108
80,NaN,0.00242801612826056,NaN,NaN,NaN,NaN
85,0.222809645839625,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,18.4921936673629,NaN,NaN,NaN
100,0.176335095050323,0.00231979398622075,16.1725102292734,0.0248113415948708,1.71491882112044,0.0604623190993908
150,0.237129332080809,0.00242493966418931,16.4429157919069,0.0194230716578397,1.76769707424744,0.0619263679083571
200,0.24335368277248,0.00245541388634316,16.0352206534541,0.0193888156231865,1.66613667904618,0.0721390088711449
250,NaN,0.00236012899244636,NaN,0.0177547626650283,1.45298111128512,0.0702372354527156
300,NaN,0.00251432612923975,NaN,NaN,1.52948006831274,NaN
350,NaN,0.0022779846781972,NaN,NaN,NaN,0.0625419390390731
450,NaN,0.00258098095414634,NaN,NaN,NaN,NaN
