t,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs
0,-0.00441759175765781,-5.88307884795986e-05,3.581761166515e-05,0.369886724621548
8,0.227828793390941,NaN,NaN,NaN
9,NaN,NaN,NaN,0.394728794593067
10,NaN,NaN,4.85518800331079e-05,NaN
15,0.201881658271043,0.000423245087619256,NaN,NaN
20,NaN,NaN,NaN,0.452416379323996
25,0.15528874774242,0.000568287805610444,0.00106807863860047,NaN
30,NaN,NaN,NaN,0.408173001050959
35,0.137160127192337,NaN,NaN,NaN
40,NaN,0.00104475363276338,0.00222892176364548,0.47692770474092
45,0.123561373441335,NaN,NaN,NaN
50,NaN,NaN,NaN,0.439294301594014
55,0.112466908918589,0.00102462165134825,0.00242142751862864,NaN
60,NaN,NaN,NaN,0.461497055715743
70,0.111540910559239,NaN,NaN,NaN
75,NaN,0.00138947595117775,0.00165861196893056,0.38278065313391
85,0.0952093866698825,NaN,NaN,NaN
90,NaN,NaN,NaN,0.435833752466849
95,NaN,NaN,0.00127833359171636,NaN
100,0.094723864760709,0.00149314555549124,0.00135306935737633,0.399180952990498
150,0.0775621611184846,0.00187448692336324,0.000930262620201039,0.417359569908769
200,NaN,NaN,0.00104920797830007,0.400373810291339
