t,epo_level,pEpoRpJAK2_Obs,PTPAct_Obs,CISHnRNA5_Obs,SOCS3_Obs
94,2.5e-09,0.115667800198314,0.00227405893810465,0.134376502676853,12.2067011610771
94,2.5e-09,0.145483433440634,0.0017657123061525,0.139896467841506,12.810278742873
94,2.5e-09,0.140743827102415,0.00208881718090352,0.139461117125278,12.2144166964639
94,2.5e-08,0.356617187486953,0.00664496588099576,0.208108591599761,14.9865422993648
94,2.5e-08,0.366522684817374,0.0068735829766287,0.217401830921092,15.5441320961482
94,2.5e-08,0.342936601772105,0.00682293384990668,0.231388404874556,14.8579824530286
94,1.25e-07,0.178936121062461,0.00279516228898561,0.146051841494086,12.2991557127128
94,1.25e-07,0.198398515018671,0.00246276879725632,0.166359034131594,12.8610544184627
94,1.25e-07,0.188342685713099,0.00273970813661844,0.165715107152275,12.6658001279492
94,2.5e-07,0.0706420651100678,0.000725266624920789,0.0936412303573632,10.1326403650104
94,2.5e-07,0.0851786475202626,0.00101238236216576,0.0875027908107355,9.68855690865009
94,2.5e-07,0.0748361415189955,0.000864443712476651,0.0873840338191128,8.08191474573216
94,2.5e-06,0.0491329985042063,7.68210922312823e-05,0.0239960688989305,2.41985327965644
94,2.5e-06,0.020293479407849,0.000305298129840989,0.0143329306129037,3.93963703627234
94,2.5e-06,0.0149964101429444,0.000169713678421281,0.0250597582865037,3.22947957404907
