t,epo_level,SOCS3_Obs
42,2.5e-09,1.01462154243914
42,2.5e-09,1.39794384348486
42,2.5e-09,1.81947466849121
42,2.5e-08,1.76007866509318
42,2.5e-08,2.09465301519638
42,2.5e-08,2.70961506911617
42,1.25e-07,3.44828766585746
42,1.25e-07,3.5356048680687
42,1.25e-07,3.74575241339792
42,2.5e-07,3.15289805744893
42,2.5e-07,3.61762547562653
42,2.5e-07,3.66303870644706
42,1.25e-06,3.6956240904747
42,1.25e-06,3.72241280823239
42,1.25e-06,3.83820446432746
42,2.5e-06,3.95247403509595
42,2.5e-06,4.08158749218633
42,2.5e-06,4.17110145589214
