t,EpoRpJAK2_Obs,pSTAT5_Obs,SOCS3nRNA2_Obs
0,-0.0550493409013323,-0.159907447410451,0.00119619871955379
30,NaN,1.52559894042473,NaN
35,1.13400015082869,NaN,NaN
40,NaN,NaN,0.00541900502825078
65,NaN,1.36096795401934,NaN
75,1.52726083739211,NaN,NaN
80,NaN,NaN,0.00444633425910301
100,1.68310289118614,1.34701029846975,NaN
150,1.89499701301358,1.2642217659715,0.00312149078871353
200,NaN,1.13894780690104,0.00317936451061871
250,1.85825068014833,1.23862824699529,0.00283198444070313
300,1.52079988969046,1.22637503649373,0.00345142333143149
350,NaN,1.25797150434409,NaN
400,NaN,1.24406727524116,NaN
500,NaN,1.31555846229743,NaN
